id;$doctype;_rev;address;amount;areas/0;areas/1;areas/2;composition;counter;createdAt;datasetId;hashtags;isIncluded;location/latitude;location/longitude;name;origin;status;team;updatedAt;glass;ceramic/bricks;other;plastic;metal;biological/paper/wood;textiles/shoes/carpets;rubber/tyres;electronics;toxic/chemicals;car parts/vehicles;household;non-household;construction and demolition
8fd182e0-25df-4bbe-83c5-d494b14d551d;trashpoint;2-f0c2979e7ff0e7481c9c2126e8c88553;, Lalana Samuel Stefani, 21;cartload;MG;;;,textiles/shoes/carpets,biological/paper/wood,plastic;1;13.09.2018 15:15;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;-18.9160502;47.5273887;, Lalana Samuel Stefani, 21;household,non-household,;regular;;13.09.2018 15:15;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
928834fe-7099-49c1-8ab0-a561c4e629a3;trashpoint;3-922f0bcacf94e4d69f5b8872babcbf04;, Tv. Brasil, 80;truckload;BR;;;,other,biological/paper/wood,metal,plastic,glass;1;13.09.2018 15:25;08766c29-29a2-4919-918b-cc77f64cbb73;,#Limpeza,#Escola,#SC,#Chapec;FALSE;-27.1057139591;-52.6122503355;, Tv. Brasil, 80;;regular;;13.09.2018 15:31;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
78b71653-423e-4776-8f79-a50c9627f7b7;trashpoint;2-7e7c346a20e69842658b19b205934bea;Antananarivo, Lalana Andriandahifotsy;cartload;MG;;;,other,biological/paper/wood,plastic;1;13.09.2018 15:26;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;-18.9106185;47.5286797;Antananarivo, Lalana Andriandahifotsy;household,non-household,construction and demolition;regular;;13.09.2018 15:26;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
ab1f901f-759a-473e-a8c8-e54c4757130b;trashpoint;2-195cd4d182ac2c16e1d053d1b5db2885;, Av. Nereu Ramos, 75D;truckload;BR;;;,other,biological/paper/wood,metal,plastic,ceramic/bricks,glass;1;13.09.2018 15:27;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;-27.1049404;-52.6119665;, Av. Nereu Ramos, 75D;;regular;;13.09.2018 15:27;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
a969c1d1-e525-4604-96ba-f73e66c2a759;trashpoint;2-7d62e470955665821f185ddc0015d751;Antananarivo, Lalana R. Ramelina, 9;cartload;MG;;;,textiles/shoes/carpets,biological/paper/wood,plastic;1;13.09.2018 15:28;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;-18.9117165;47.5282243;Antananarivo, Lalana R. Ramelina, 9;household,non-household,construction and demolition;regular;;13.09.2018 15:29;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
abcbbd2f-0813-41b4-ac7e-256b9ae39268;trashpoint;2-bafb3fd15b5ec9721d2c1a137c58cbb4;, Lalana Razanakombana;bagful;MG;;;,plastic,ceramic/bricks;1;13.09.2018 15:29;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;-18.9119863;47.5287118;, Lalana Razanakombana;household;regular;;13.09.2018 15:30;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
0807eb4c-af73-4df1-8a62-d71a2ca1aa30;trashpoint;2-1d4caa232348e24f7d41676f494bd1b1;Antananarivo, Lalana R. Ramelina;bagful;MG;;;,textiles/shoes/carpets,biological/paper/wood,plastic;1;13.09.2018 15:34;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;-18.911331;47.5277698;Antananarivo, Lalana R. Ramelina;household,non-household,;regular;;13.09.2018 15:35;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
98719f96-faa2-4d49-a086-cfeef11693c0;trashpoint;2-49c569c5c38b8da33ffe32bb3ca1dcf8;Antananarivo, Lalana Ratsimilaho, 43;bagful;MG;;;,biological/paper/wood,plastic;1;13.09.2018 15:40;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;-18.9118762;47.5256226;Antananarivo, Lalana Ratsimilaho, 43;household,non-household,;regular;;13.09.2018 15:40;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
4a5d9232-8cf3-4ff7-b676-b21eb83b43f7;trashpoint;2-507e953f91dcb90ab60c19c8ff66ae32;Antananarivo, Lalana Dok Razafindratandra;bagful;MG;;;,textiles/shoes/carpets,biological/paper/wood,plastic;1;13.09.2018 15:48;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;-18.9164296;47.5263994;Antananarivo, Lalana Dok Razafindratandra;household,non-household,;regular;;13.09.2018 15:48;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
c49f81d0-d70a-459a-9e11-212b0b27b0d0;trashpoint;2-faf7ae9f86285245a01b7df78287cd84;Antananarivo, Lalana Samuel Stefani;truckload;MG;;;,textiles/shoes/carpets,biological/paper/wood,plastic;1;13.09.2018 15:52;08766c29-29a2-4919-918b-cc77f64cbb73;;FALSE;-18.9164195;47.5266689;Antananarivo, Lalana Samuel Stefani;household,non-household,;regular;;13.09.2018 15:52;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
